학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000013546,의왕고등학교,고등학교,2009-03-01,공립,본교,운영,경기도 의왕시 삼동 268,경기도 의왕시 덕영대로 115(삼동.의왕고등학교),7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2018-08-22,37.32237165,126.9583412,2018-09-10,B090027,한국교육개발원
B000007535,자여초등학교,초등학교,1999-09-01,공립,본교,운영,경상남도 창원시 의창구 동읍 단계리 252,경상남도 창원시 의창구 동읍 자여로 135 (동읍. 자여초등학교),9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2018-08-22,35.27220378,128.7057743,2018-09-10,B090027,한국교육개발원
B000006863,임자초등학교,초등학교,1924-10-10,공립,본교,운영,전라남도 신안군 임자면 대기리 348,전라남도 신안군 임자면 임자로 216-4(임자면.임자초등학교),8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,2018-08-22,35.09002135,126.1014932,2018-09-10,B090027,한국교육개발원
B000006864,임자남초등학교,초등학교,1957-04-01,공립,본교,운영,전라남도 신안군 임자면 대기리 2819,전라남도 신안군 임자면 장동길 86. 임자남초등학교 (임자면),8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,2018-08-22,35.0839025,126.0771456,2018-09-10,B090027,한국교육개발원
B000009784,장성여자중학교,중학교,1966-04-12,공립,본교,운영,강원도 태백시 장성동 62-1,강원도 태백시 하장성1길 10. 장성여자중학교 (장성동. 장성여자중학교),7800000,강원도교육청,7851000,강원도태백교육지원청,2013-11-29,2018-08-22,37.10349937,129.0211423,2018-09-10,B090027,한국교육개발원
B000009134,이목중학교,중학교,1985-12-28,공립,본교,운영,경기도 수원시 장안구 이목동 241,경기도 수원시 장안구 장안로 426(이목동),7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2018-08-22,37.31812853,126.982257,2018-09-10,B090027,한국교육개발원
B000013012,익산고등학교,고등학교,1966-03-05,사립,본교,운영,전라북도 익산시 금마면 동고도리 565,전라북도 익산시 금마면 고도길 85 (금마면),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.99424073,127.0554797,2018-09-10,B090027,한국교육개발원
B000010862,자인중학교,중학교,1948-10-01,공립,본교,운영,경상북도 경산시 자인면 북사리 242,경상북도 경산시 자인면 일연로 93자인중학교 (자인면. 경상북도기계금속고등학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2018-08-22,35.82080976,128.8203855,2018-09-10,B090027,한국교육개발원
B000010869,의흥중학교,중학교,1951-11-30,공립,본교,운영,경상북도 군위군 의흥면 읍내리 210-2,경상북도 군위군 의흥면 읍내길 89-32 (의흥중학교),8750000,경상북도교육청,8861000,경상북도군위교육지원청,2013-11-29,2018-08-22,36.17480284,128.7214292,2018-09-10,B090027,한국교육개발원
B000002588,장전초등학교,초등학교,1977-12-05,공립,본교,운영,부산광역시 금정구 장전동 657-8,부산광역시 금정구 수림로 90 (장전동. 장전초등학교),7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2018-08-22,35.24093875,129.0826617,2018-09-10,B090027,한국교육개발원
B000012385,유성여자고등학교,고등학교,1974-03-07,사립,본교,운영,대전광역시 유성구 죽동 305,대전광역시 유성구 은구비로138번길. 70 (죽동.유성여자고등학교),7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2018-08-22,36.38341541,127.327973,2018-09-10,B090027,한국교육개발원
B000010347,전북체육중학교,중학교,2007-03-01,공립,본교,운영,전라북도 완주군 소양면 해월리 377-19,전라북도 완주군 소양면 원암로 46(소양면),8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2018-08-22,35.8656457,127.2499492,2018-09-10,B090027,한국교육개발원
B000010351,전주예술중학교,중학교,1997-03-01,사립,본교,운영,전라북도 완주군 구이면 항가리 499-3,전라북도 완주군 구이면 신전길 120. 전주예술중학교 (구이면),8320000,전라북도교육청,8391000,전라북도완주교육지원청,2013-11-29,2018-08-22,35.72066845,127.1083821,2018-09-10,B090027,한국교육개발원
B000010001,음성중학교,중학교,1946-09-01,공립,본교,운영,충청북도 음성군 음성읍 읍내리 274-3,충청북도 음성군 음성읍 수정로 79. 음성중학교 (음성읍),8000000,충청북도교육청,8101000,충청북도음성교육지원청,2013-11-29,2018-08-22,36.93548924,127.6956432,2018-09-10,B090027,한국교육개발원
B000010002,음성여자중학교,중학교,1959-07-01,공립,본교,운영,충청북도 음성군 음성읍 평곡리 830-3,충청북도 음성군 음성읍 한불로 10(음성읍),8000000,충청북도교육청,8101000,충청북도음성교육지원청,2013-11-29,2018-08-22,36.92720699,127.6990098,2018-09-10,B090027,한국교육개발원
B000013000,이리고등학교,고등학교,1955-04-15,공립,본교,운영,전라북도 익산시 남중동 218-1,전라북도 익산시 익산대로36길 35 (남중동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.94870819,126.9550295,2018-09-10,B090027,한국교육개발원
B000013004,이리남성여자고등학교,고등학교,1946-03-05,사립,본교,운영,전라북도 익산시 영등동 337-5,전라북도 익산시 동서로35길 41(신동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.95577647,126.9664998,2018-09-10,B090027,한국교육개발원
B000013005,이일여자고등학교,고등학교,1964-12-05,사립,본교,운영,전라북도 익산시 인화동1가 2-42,전라북도 익산시 평동로 7길 30. 이일여자고등학교 (인화동1가),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.93477429,126.948644,2018-09-10,B090027,한국교육개발원
B000013006,전북제일고등학교,고등학교,1952-04-11,사립,본교,운영,전라북도 익산시 평화동 169,전라북도 익산시 학곤로 19(평화동. 제일고등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.93466476,126.9411183,2018-09-10,B090027,한국교육개발원
B000009409,장당중학교,중학교,2005-03-01,공립,본교,운영,경기도 평택시 장당동 640,경기도 평택시 장당길 40(장당동.장당중학교),7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2018-08-22,37.0515362,127.062869,2018-09-10,B090027,한국교육개발원
B000009410,이충중학교,중학교,2007-03-02,공립,본교,운영,경기도 평택시 이충동 675,경기도 평택시 이충로 35번길 5. 이충중학교 (이충동),7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2018-08-22,37.05952238,127.0686905,2018-09-10,B090027,한국교육개발원
B000009417,은혜중학교,중학교,1968-04-04,사립,본교,운영,경기도 평택시 장안동 389-1,경기도 평택시 장안웃길 66. 은혜중학교 (장안동. 은혜고등학교. 은혜중학교),7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2018-08-22,37.06710457,127.0802815,2018-09-10,B090027,한국교육개발원
B000009858,임계중학교,중학교,1952-07-02,공립,본교,운영,강원도 정선군 임계면 봉산리 241-2,강원도 정선군 임계면 백두대간로 1313. 임계중학교 (임계면. 임계중학교.임계고등학교),7800000,강원도교육청,7921000,강원도정선교육지원청,2013-11-29,2018-08-22,37.49210334,128.8451995,2018-09-10,B090027,한국교육개발원
B000010141,은산중학교,중학교,1964-03-08,공립,본교,운영,충청남도 부여군 은산면 신대리 333,충청남도 부여군 은산면 충의로 729(은산면),8140000,충청남도교육청,8231000,충청남도부여교육지원청,2013-11-29,2018-08-22,36.31360506,126.8543155,2018-09-10,B090027,한국교육개발원
B000010143,임천중학교,중학교,1951-09-25,공립,본교,운영,충청남도 부여군 임천면 구교리 531-4,충청남도 부여군 임천면 성흥로 210. . (임천면. 임천중학교),8140000,충청남도교육청,8231000,충청남도부여교육지원청,2013-11-29,2018-08-22,36.18127904,126.8980566,2018-09-10,B090027,한국교육개발원
B000010318,인월중학교,중학교,1960-05-03,공립,본교,운영,전라북도 남원시 인월면 서무리 678-2,전라북도 남원시 인월면 인월장터로 48. 인월중고등학교 (인월면. 인월중고등학교),8320000,전라북도교육청,8371000,전라북도남원교육지원청,2013-11-29,2018-08-22,35.46463604,127.6016265,2018-09-10,B090027,한국교육개발원
B000009805,장호중학교,중학교,1964-01-11,공립,본교,운영,강원도 삼척시 근덕면 장호리 201,강원도 삼척시 근덕면 삼척로 2101(근덕면),7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,2018-08-22,37.28368922,129.3116567,2018-09-10,B090027,한국교육개발원
B000009801,임원중학교,중학교,1970-12-31,공립,본교,운영,강원도 삼척시 원덕읍 임원리 921,강원도 삼척시 원덕읍 삼척로 1313(원덕읍. 임원중학교),7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,2018-08-22,37.24099496,129.3369759,2018-09-10,B090027,한국교육개발원
